Sample ID,Sample Name,Object ID,Sr Number,"""Antisemitism is a certain perception of Jews, which may be expressed as hatred toward Jews. Rhetorical and physical manifestations of antisemitism are directed toward Jewish or non-Jewish individuals and/or their property, toward Jewish community institutions and religious facilities.""",Is the post still online?,Is the post antisemitic according to IHRA-WDA?,"IHRA Section That Applies (check at least one). If you judged the post to be antisemitic, select one or more of the following categories that best describe the expression:",What content type transports the antisemitic message? (check all that apply),"Is the post calling out or reporting on antisemitism? This includes posts that criticize, condemn, or report on antisemitic speech or incidents — in the present or past (excluding the Holocaust unless it includes present/future messaging like “never again”).",Time Taken
170,Datathon2025_team1,1781148811697484023,1,N/A,Online,Probably antisemitic,"Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’, Applying double standards to Israel (e.g., expectations not required of other nations), Holding Jews collectively responsible for actions of the state of Israel",Written text,No,101
170,Datathon2025_team1,1946266821516231006,2,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power, Using classic antisemitic tropes (e.g., blood libel) to characterize Israel or Israelis",Written text,No,235
170,Datathon2025_team1,1948176946044481898,3,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Accusing Jews of being more loyal to Israel, or to ‘Jewish priorities’","Written text, Post description, hashtag, or username",No,224
170,Datathon2025_team1,1947395762234814552,4,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power, Accusing Jews of being more loyal to Israel, or to ‘Jewish priorities’, Holding Jews collectively responsible for actions of the state of Israel","Written text, Post description, hashtag, or username",No,275
170,Datathon2025_team1,1800972403138494519,5,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power, Accusing Jews of being more loyal to Israel, or to ‘Jewish priorities’","Written text, Post description, hashtag, or username",No,123
170,Datathon2025_team1,1852435615230411054,6,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Accusing Jews of being more loyal to Israel, or to ‘Jewish priorities’, Drawing comparisons between Israeli policy and that of the Nazis","Written text, Visuals / imagery / video, Link to antisemitic text or video",No,287
170,Datathon2025_team1,1768656358839107937,7,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power","Written text, Visuals / imagery / video",No,223
170,Datathon2025_team1,1926661381039759812,8,N/A,Online,Probably antisemitic,None or n/a,"Written text, Visuals / imagery / video",No,305
170,Datathon2025_team1,1714032884137247096,9,N/A,Online,Probably not antisemitic,None or n/a,"Written text, Visuals / imagery / video",Yes,324
170,Datathon2025_team1,1943750950373797890,10,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power, Using classic antisemitic tropes (e.g., blood libel) to characterize Israel or Israelis","Written text, Visuals / imagery / video",No,150
170,Datathon2025_team1,1947819563007017098,11,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Drawing comparisons between Israeli policy and that of the Nazis",Written text,No,436
170,Datathon2025_team1,1947806367554675127,12,N/A,Online,Confident antisemitic,"Hatred towards Jews, Justifying harming of Jews in the name of a radical ideology, Mendacious or stereotypical allegations about Jews as such + Jewish power",Written text,No,113
170,Datathon2025_team1,1831310890567614577,13,N/A,Online,Probably antisemitic,None or n/a,Written text,No,95
170,Datathon2025_team1,1948119898053279789,14,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Drawing comparisons between Israeli policy and that of the Nazis","Written text, Visuals / imagery / video",No,164
170,Datathon2025_team1,1818780382252179854,15,N/A,Online,Probably antisemitic,None or n/a,Written text,No,89
170,Datathon2025_team1,1759028889941098672,16,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’, Drawing comparisons between Israeli policy and that of the Nazis","Written text, Visuals / imagery / video",N/A,113
170,Datathon2025_team1,1785975242239975649,17,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power, Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’, Drawing comparisons between Israeli policy and that of the Nazis","Written text, Visuals / imagery / video",No,115
170,Datathon2025_team1,1912630773456285831,18,N/A,Online,Confident antisemitic,"Hatred towards Jews, Mendacious or stereotypical allegations about Jews as such + Jewish power","Written text, Audio (e.g., speech, music, sound effects, automated transcript), Visuals / imagery / video",No,181
170,Datathon2025_team1,1944834304057737283,19,N/A,Online,Probably antisemitic,"Denying the Jewish people right to self-determination, e.g., ‘Israel is racist per se’, Holding Jews collectively responsible for actions of the state of Israel","Written text, Visuals / imagery / video",No,567
170,Datathon2025_team1,1946238298529153309,20,N/A,Online,Probably not antisemitic,None or n/a, None or n/a,No,106
170,Datathon2025_team1,1948096319329010080,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947650726508872026,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1945933021322096847,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1947130827696996383,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1928465063259549761,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1945903960457457842,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1946190319592014041,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,Datathon2025_team1,1818031363381150097,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A
