id,user_posted,name,description,date_posted,photos,url,quoted_post,tagged_users,replies,reposts,likes,views,external_url,hashtags,followers,biography,posts_count,profile_image_link,following,is_verified,quotes,bookmarks,parent_post_details,external_image_urls,videos,external_video_urls,verification_type,user_id,context_added,timestamp,input,error,error_code,warning,warning_code
1781148811697484023,historyoarmani2,Armani,israel and it’s western allies have shown the rest of the world that they are committed to start a global war instead of ending a genocide. These aren’t rational people. These aren’t diplomatic nations. israel and it’s allies are terrorists holding the world hostage!,2024-04-19T02:32:23.000Z,,https://x.com/historyoarmani2/status/1781148811697484023,"{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,9,144,374,20844,,,7046,,9840,https://pbs.twimg.com/profile_images/1654538179314176000/HNTHywOu_normal.jpg,936,FALSE,2,13,"{""post_id"":null,""profile_id"":""1312162630350536704"",""profile_name"":""Armani""}",,,,,1312162630350536704,,2025-07-24T01:48:43.640Z,"{""url"":""https://x.com/historyoarmani2/status/1781148811697484023""}",,,,
1946266821516231006,karulf_grimfang,Karulf Grimfang,"@ArchRose90 None!These women-beating and bloodthirsty savages love to play victim and continue their goal to assimilate, and Dominance.  The world needs to declare WAR against these murderous radicals and those who are involved in the diabolical 2030 agenda.",2025-07-18T17:52:24.000Z,,https://x.com/karulf_grimfang/status/1946266821516231006,"{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1647291168"",""profile_name"":""Chris Rose"",""url"":""https://x.com/ArchRose90"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",0,4,32,775,,,1885,🇨🇦 Streamer / ADHD / Western Nord / Hobbyist / Wolf Astartes - W40k Fan / Pro-Humanity / Truthseeker,30723,https://pbs.twimg.com/profile_images/1894994060017864704/ktLmoyKm_normal.jpg,606,FALSE,0,0,"{""post_id"":""1946249307444617552"",""profile_id"":""1647291168"",""profile_name"":""ArchRose90""}",,,,blue,1647291168,,2025-07-24T01:48:43.647Z,"{""url"":""https://x.com/karulf_grimfang/status/1946266821516231006""}",,,,
1948176946044481898,JThates,J.T,@1488forever_ @bagginsbags @TheKing92483270 @suhnudyeus @TonyMichaelX He specifically says we’re all equal. You’re retarded for believing in this Jewish nonsense and bending over backwards in public to defend it with 1488 in your name. You’re an embarrassment to the White race frankly. You need to start respecting yourself.,2025-07-24T00:22:33.000Z,,https://x.com/JThates/status/1948176946044481898,"{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1939734107526676480"",""profile_name"":""1488forever"",""url"":""https://x.com/1488forever_"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null},{""profile_id"":""1813964926211551233"",""profile_name"":""Haunted Humor"",""url"":""https://x.com/bagginsbags"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null},{""profile_id"":""1787524773968289793"",""profile_name"":""The King"",""url"":""https://x.com/TheKing92483270"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null},{""profile_id"":""1934798941100625924"",""profile_name"":""Suhnú Dyēus 𖥞"",""url"":""https://x.com/suhnudyeus"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null},{""profile_id"":""1520192012665958400"",""profile_name"":""TONY"",""url"":""https://x.com/TonyMichaelX"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",1,0,0,29,,,393,Svenstreams,9624,https://pbs.twimg.com/profile_images/1850307063869583361/g9vZutEe_normal.jpg,357,FALSE,0,0,"{""post_id"":""1948176137399468112"",""profile_id"":""1939734107526676480"",""profile_name"":""1488forever_""}",,,,blue,1939734107526676480,,2025-07-24T01:48:43.663Z,"{""url"":""https://x.com/JThates/status/1948176946044481898""}",,,,
1947395762234814552,JMcjewface,Soapywaffen Lampshades,"@TheGoyimWaffen I’m trying to get this message across to people all the time.  Just because I’m antisemitic doesn’t mean I’m pro-muslim, quite the opposite actually.  But the whole reason they are overrunning White countries is because of jew influence and advocacy groups like HIAS",2025-07-21T20:38:25.000Z,,https://x.com/JMcjewface/status/1947395762234814552,"{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1931327187992383488"",""profile_name"":""𝐀𝐍𝐒"",""url"":""https://x.com/TheGoyimWaffen"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",0,0,4,25,,,447,Construction expert specializing in the building of towers.  Proud member of the Local 1488.,520,https://pbs.twimg.com/profile_images/1942790312058855424/est4w4xb_normal.jpg,343,FALSE,0,0,"{""post_id"":""1947362684355100874"",""profile_id"":""1931327187992383488"",""profile_name"":""TheGoyimWaffen""}",,,,,1931327187992383488,,2025-07-24T01:48:43.683Z,"{""url"":""https://x.com/JMcjewface/status/1947395762234814552""}",,,,
1800972403138494519,AncestralVril,Ancestral Vril,@Klaus_Arminius 4800 Jewish bioweapons ready to destroy Ireland.,2024-06-12T19:24:16.000Z,,https://x.com/AncestralVril/status/1800972403138494519,"{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1483893386817986574"",""profile_name"":""Klaus Arminius"",""url"":""https://x.com/Klaus_Arminius"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",10,9,289,6677,,,57315,Christian nationalist. I write about culture wars.,5551,https://pbs.twimg.com/profile_images/1618911365111898119/OmVRKgkB_normal.jpg,352,FALSE,1,2,"{""post_id"":""1800943724874059881"",""profile_id"":""1483893386817986574"",""profile_name"":""Klaus_Arminius""}",,,,blue,1483893386817986574,,2025-07-24T01:48:43.695Z,"{""url"":""https://x.com/AncestralVril/status/1800972403138494519""}",,,,
1852435615230411054,ireallyhateyou,B.M.,"NO FUCKING WAY.Judeo-NAZIS to the full extent of the term. I wonder what's their equivalent to 88.https://t.co/vuD31AahQ5The graffiti in the cover photo, BTW, says ""Likud is dead - Kahane lives""",2024-11-01T19:40:41.000Z,"[""https://pbs.twimg.com/media/GbUsYAeXUAA7P9U.jpg""]",https://x.com/ireallyhateyou/status/1852435615230411054,"{""post_id"":""1852421015298613587"",""profile_id"":""FahAunty"",""profile_name"":""Aunty Fah 🇵🇸 #IStandWithPalestine"",""data_posted"":""2017-05-13T11:28:26.000Z"",""url"":""https://x.com/FahAunty/status/1852421015298613587"",""description"":""@IbnNacer @real_IHN_isback @Bouch3ar1003 @ireallyhateyou What can anyone expect from someone who paraphrases the most popular white supremacist slogan \""We must secure...\"" coined by a member of the white supremacist terror group The Order, David Lane, in their bio. https://t.co/OjrO7Y321X"",""photos"":[""https://pbs.twimg.com/media/GbUdW4-XIAAG2cy.png""],""videos"":null}",,8,62,279,9553,https://en.m.wikipedia.org/wiki/Fourteen_Words,,64313,"Anti-Zionist Hebrew from occupied Palestine. Currently in exile.
🇵🇸🇵🇸🇵🇸
Sometimes I'm available at
ireallyhateyou1948 (at) gmail (dot) com

RT≠endorsement",73183,https://pbs.twimg.com/profile_images/1794333568241418240/wZ1ciU3-_normal.jpg,1948,FALSE,3,36,"{""post_id"":null,""profile_id"":""40541586"",""profile_name"":""B.M.""}",,,,blue,40541586,,2025-07-24T01:48:43.697Z,"{""url"":""https://x.com/ireallyhateyou/status/1852435615230411054""}",,,,
1768656358839107937,Yamnayanage,HandsomeHilterian,I don’t beleeb in low energy HWhyte nationalism. I’m an Aryan supremacist and beleeb in the extermination of hundreds of millions.,2024-03-15T15:11:50.000Z,,https://x.com/Yamnayanage/status/1768656358839107937,"{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,2,29,346,31307,,,14181,Returning to an ethical suprastructure for a radically aristocratic way of (satirical) thinking. Read BRONZE AGE MINDSET,10930,https://pbs.twimg.com/profile_images/1608555243238834177/Qikn-dXG_normal.jpg,2235,FALSE,2,193,"{""post_id"":null,""profile_id"":""1318767673753391108"",""profile_name"":""HandsomeHilterian""}",,"[{""video_url"":""https://video.twimg.com/ext_tw_video/1768656067569844224/pu/vid/avc1/720x900/Lb64ip6W3AwXbZ8o.mp4?tag=12"",""duration"":13673}]",,,1318767673753391108,,2025-07-24T01:48:43.701Z,"{""url"":""https://x.com/Yamnayanage/status/1768656358839107937""}",,,,
1926661381039759812,OurEurope1939,OurEurope ᛏ ᚢ ᚦ,What do you think of the AtomWaffen Division?,2025-05-25T15:27:23.000Z,,https://x.com/OurEurope1939/status/1926661381039759812,"{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,2,0,4,522,,,1230,Join Your Folk Today: https://t.co/EUhhf24nMf // Governor of @TheOfficialAIC // Boreanist National Socialism // Education // Autarky Enthusiast,1333,https://pbs.twimg.com/profile_images/1946249469252476942/hnkjb8vi_normal.jpg,1408,FALSE,0,0,"{""post_id"":null,""profile_id"":""1908684397064441856"",""profile_name"":""OurEurope ᛏ ᚢ ᚦ""}",,,,,1908684397064441856,,2025-07-24T01:48:43.762Z,"{""url"":""https://x.com/OurEurope1939/status/1926661381039759812""}",,,,
1714032884137247096,AGHamilton29,AG,"Evil scumbags. This is what I’m talking about. They are celebrating the genocidal murder of babies, women, and children. If it was targeted at anyone other than Jews, everyone would recognize how evil this is.",2023-10-16T21:37:39.000Z,,https://x.com/AGHamilton29/status/1714032884137247096,"{""post_id"":""1713687680280641596"",""profile_id"":""samaberman"",""profile_name"":""Sam Aberman"",""data_posted"":""2013-06-21T02:38:09.000Z"",""url"":""https://x.com/samaberman/status/1713687680280641596"",""description"":""Cornell University Professor Russell Rickford speaking about Hamas terrorist attacks. Shameful @Cornell. https://t.co/xv1dTqGymy"",""photos"":null,""videos"":[{""url"":""https://video.twimg.com/ext_tw_video/1713687626031448065/pu/vid/avc1/480x848/VlwTElVaJCn5EhnU.mp4?tag=12"",""duration"":24333}]}",,53,330,1746,134478,,,204533,Views expressed here only represent myself.,99362,https://pbs.twimg.com/profile_images/1107059422726144010/t8CHnjER_normal.png,1351,FALSE,9,41,"{""post_id"":null,""profile_id"":""116835497"",""profile_name"":""AG""}",,,"[{""video_url"":null,""duration"":24333}]",blue,116835497,,2025-07-24T01:48:43.774Z,"{""url"":""https://x.com/AGHamilton29/status/1714032884137247096""}",,,,
1943750950373797890,Zaryanvolkspart,Zaryan People's Party,YOUR NATION NEEDS YOU#ongezellig #ZaryanLivesMatter,2025-07-11T19:15:14.000Z,"[""https://pbs.twimg.com/media/GvmXL_yW8AIZloJ.jpg""]",https://x.com/Zaryanvolkspart/status/1943750950373797890,"{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,9,9,28,1748,,"[""ongezellig"",""ZaryanLivesMatter""]",40,"revolutie, ras, natie.
voor de rechten van het Zaryan-volk
#ZaryanLivesMatter",33,https://pbs.twimg.com/profile_images/1945881778675142663/OxG7mCG9_normal.jpg,9,FALSE,4,9,"{""post_id"":null,""profile_id"":""1920538372847681536"",""profile_name"":""Zaryan People's Party""}",,,,,1920538372847681536,,2025-07-24T01:48:43.778Z,"{""url"":""https://x.com/ZPP_88/status/1943750950373797890""}",,,,
